pref_name,station_name,line_name,station_lat,station_lon,passenger_2017,passenger_2018,passenger_2019
千葉県,小室,北総鉄道北総線,35.786915,140.076148,3900,3984,4033
東京都,小宮,ＪＲ八高線(八王子－高麗川),35.685469,139.368795,6372,6100,6100
東京都,小岩,ＪＲ総武本線,35.732946,139.881695,130408,132960,132960
神奈川県,小島新田,京急大師線,35.534714,139.747688,21740,22453,22743
東京都,小川,西武拝島線,35.737493,139.463562,29615,30215,29859
東京都,小川町,都営地下鉄新宿線,35.695225,139.76715,83552,96030,85514
東京都,小平,西武新宿線,35.737105,139.4882,39461,39464,38780
埼玉県,小手指,西武池袋線(池袋－飯能),35.800569,139.438006,49161,49193,48781
神奈川県,小机,ＪＲ横浜線,35.50852,139.600062,20904,20776,20776
東京都,小村井,東武亀戸線,35.710113,139.828034,11247,11556,11693
千葉県,小林,ＪＲ成田線(我孫子－成田),35.830884,140.192998,3982,3932,3932
千葉県,小櫃,ＪＲ久留里線,35.328352,140.05992,0,0,0
神奈川県,小涌谷,箱根登山鉄道(箱根湯本－強羅),35.240288,139.053231,635,530,382
神奈川県,小田原,ＪＲ東海道本線(東京－熱海),35.2564,139.154916,153534,217871,169567
東京都,小田急多摩センター,小田急多摩線,35.62506,139.424599,50319,51318,51315
東京都,小田急永山,小田急多摩線,35.62981,139.448235,31203,31338,31056
神奈川県,小田急相模原,小田急小田原線,35.515127,139.422604,56568,57597,57496
神奈川県,小田栄,ＪＲ南武線(尻手－浜川崎),35.514418,139.70508,0,0,0
東京都,小竹向原,西武有楽町線,35.743329,139.679489,319389,375160,339614
東京都,小菅,東武スカイツリーライン(浅草－東武動物公園),35.758941,139.812866,5830,6003,6177
千葉県,小見川,ＪＲ成田線(千葉－銚子),35.850111,140.604657,2588,2450,2450
千葉県,小谷松,いすみ鉄道,35.268974,140.251186,6,3,3
千葉県,小金城趾,流鉄流山線,35.835991,139.916992,1560,1654,1721
神奈川県,尻手,ＪＲ南武線(尻手－浜川崎),35.531046,139.684387,28484,29774,29774
東京都,尾久,ＪＲ宇都宮線,35.746774,139.753844,18084,20000,20000
東京都,尾山台,東急大井町線,35.606871,139.654081,30551,30921,30594
神奈川県,屏風浦,京急本線,35.394587,139.610205,17942,18335,18233
東京都,山下,東急世田谷線,35.653894,139.646579,8875,9360,9349
神奈川県,山北,ＪＲ御殿場線,35.360666,139.08039,0,0,1115
神奈川県,山手,ＪＲ根岸線,35.427446,139.6462,34682,35184,35184
東京都,山田,京王高尾線,35.644334,139.321135,5303,5242,5231
埼玉県,岡部,ＪＲ高崎線,36.205883,139.237644,6494,6302,6302
千葉県,岩井,ＪＲ内房線,35.092569,139.849671,570,526,526
神奈川県,岩原,伊豆箱根鉄道大雄山線,35.298756,139.128888,1603,1538,1493
東京都,岩本町,都営地下鉄新宿線,35.69553,139.775039,53741,55325,55446
埼玉県,岩槻,東武アーバンパークライン(大宮－柏),35.950085,139.692923,36915,37052,36935
神奈川県,岸根公園,横浜市営地下鉄ブルーライン,35.495744,139.616812,11672,11530,11884
